Publication Type,Authors,Article Title,Source Title,Volume,Issue,Start Page,End Page,DOI,Publication Date,Publication Year,Abstract,Pass abstract screening?,Abstract Screener?,Measures emperically derived production based on results?,Measures simulation/model derived production based on results?,Results Screener?,"Primary, secondary production or both?",Production unit,Marine or estuarine production?,Other notes,,
J,"Driessen, P.K.",Oil platforms as reefs: oil and fish can mix.,Coastal Zone,1985,2,1417,1438,,1985,1985,,cannot access,Ray,NA,NA,NA,NA,NA,NA,(has zero citations so does not seem to exist?),,
J,"Bombace, G.; Fabi, G.; Rivas, G.",Effects induced by a productive gas platform of the northern Adriatic Sea on fish assemblage: perspectives for the management of coastal resources.,Biologia Marina Mediterranea,6,1,64,72,,1999,1999,,cannot access,Ray,NA,NA,NA,NA,NA,NA,ILL request sent,,
J,"Andrade Braga, Marcus Davis; Paiva, Sandra Vieira; de Gurjao, Livio Moreira; Peres Teixeira, Carlos Eduardo; Alves Reboucas Gurgel, Anne Larisse; Cipresso Pereira, Pedro Henrique; Soares, Marcelo de Oliveira",Retirement risks: Invasive coral on old oil platform on the Brazilian equatorial continental shelf,MARINE POLLUTION BULLETIN,165,,,,10.1016/j.marpolbul.2021.112156,Apr-21,2021,"The objective of this study was to report, for the first time, the presence of an invasive coral (Tubastraea tagusensis) in an oil platform on the Brazilian equatorial continental shelf. This structure is located more than 1200 km north from other oil and gas structures colonized by this coral. We also discussed the retirement and decommissioning of old biofouling-encrusted oil and gas platforms (similar to 62 platforms) from decreased production and the current oil crisis, exacerbated by the COVID-19 pandemic. This presents an ecological concern due invasive coral range expansion and potential impacts to poorly studied ecosystems such as marginal shallow-water coral reefs and mesophotic ecosystems. It is imperative that mindful risk analysis and rigorous environmental studies must precede the installation of new oil and gas platforms. In addition, decommissioning of retired structures should take into consideration marine restoration and non-indigenous species dispersal, and more specifically, Tubastraea bioinvasion.",Yes,Ray,No,NA,Ray,NA,NA,NA,,,
J,"Kolian, Stephan R.; Sammarco, Paul W.; Porter, Scott A.",Use of retired oil and gas platforms for fisheries in the Gulf of Mexico,Environment Systems & Decisions,38,4,501,507,10.1007/s10669-018-9685-6,Dec-18,2018,"Petroleum resources are declining on the continental shelf and will, eventually, result in the loss of similar to 30,000 jobs in related industries. Retired oil and gas platforms could be redeployed to culture fish and employ citizens in coastal areas. The Energy Policy Act 2005 Section 388 of Public Law [PL] 109-58 30 CFR 285.1000 Subpart J encourages the use of the retired structures for alternate uses. At present, there are no fishermen currently taking advantage of this legislation. We suggest amending existing laws to improve the likelihood that retired platforms are used to culture fish and invertebrates. In the future, the abandoned oil and gas infrastructure could also be used to recover stranded petroleum and reserves located in deeper horizons.",No,Ray,NA,NA,NA,NA,NA,NA,,,
J,"Claisse, Jeremy T.; Pondella, Daniel J., II; Love, Milton; Zahn, Laurel A.; Williams, Chelsea M.; Williams, Jonathan P.; Bull, Ann S.",Oil platforms off California are among the most productive marine fish habitats globallyle,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,111,43,15462,15467,10.1073/pnas.1411477111,Oct 28 2014,2014,"Secondary (i.e., heterotrophic or animal) production is a main pathway of energy flow through an ecosystem as it makes energy available to consumers, including humans. Its estimation can play a valuable role in the examination of linkages between ecosystem functions and services. We found that oil and gas platforms off the coast of California have the highest secondary fish production per unit area of seafloor of any marine habitat that has been studied, about an order of magnitude higher than fish communities from other marine ecosystems. Most previous estimates have come from estuarine environments, generally regarded as one of the most productive ecosystems globally. High rates of fish production on these platforms ultimately result from high levels of recruitment and the subsequent growth of primarily rockfish (genus Sebastes) larvae and pelagic juveniles to the substantial amount of complex hardscape habitat created by the platform structure distributed throughout the water column. The platforms have a high ratio of structural surface area to seafloor surface area, resulting in large amounts of habitat for juvenile and adult demersal fishes over a relatively small footprint of seafloor. Understanding the biological implications of these structures will inform policy related to the decommissioning of existing (e.g., oil and gas platforms) and implementation of emerging (e.g., wind, marine hydrokinetic) energy technologies.",Yes,Ray,Yes,NA,Ray,Secondary,g/m2/year,Marine,,,
J,"Kolian, Stephan R.; Godec, Michael; Sammarco, Paul W.",Alternate uses of retired oil and gas platforms in the Gulf of Mexico,OCEAN & COASTAL MANAGEMENT,167,,52,59,10.1016/j.ocecoaman.2018.10.002,Jan 1 2019,2019,"The number of fixed oil and gas platforms are declining in the Gulf of Mexico, there were similar to 3674 platforms installed the since 1942 and today there are similar to 1320. Eventually, similar to 30,000 jobs will be lost in related industries because of platform removals. Retired oil and gas platforms could be redeployed for alternate uses such as CO2 capture and storage, renewable wind energy, and sustainable fisheries and employ citizens in coastal areas. Elsewhere around the world, offshore platforms are used for purposes other than producing oil and gas. U.S. Federal legislation (Energy Policy Act 2005 Section 388 of Public Law [PL] 109-58); 30 CFR 285.1000 Subpart J) authorizes the use of retired oil and gas platforms for alternate uses. If the retired oil and gas structures are preserved, the infrastructure could also be used to recover stranded petroleum using CO2 enhanced oil recovery (CO2-EOR). We examined the socio-economic incentives, environmental impacts, and regulatory issues associated with the alternate uses. We suggest that CO2-EOR is the most economically efficient way to store CO2 offshore and that offshore wind turbines may assist with the energy requirements for oil and gas production and CO2-EOR. Data suggest that in our study area offshore platforms are more successful at producing fish and invertebrates if they are left standing instead of toppled over. The greatest regulatory issue facing the use of retired platforms is the transfer of liability. If the structures are redeployed, the previous oil and gas owner/operators are still responsible for eventual removal and catastrophic events. A variety of future economic activity in the Gulf of Mexico could take advantage of this infrastructure, if it remains in place.",No,Ray,NA,NA,NA,NA,NA,NA,,,
J,"Fowler, Ashley M.; Macreadie, Peter I.; Bishop, David P.; Booth, David J.",Using otolith microchemistry and shape to assess the habitat value of oil structures for reef fish,MARINE ENVIRONMENTAL RESEARCH,106,,103,113,10.1016/j.marenvres.2015.03.007,May-15,2015,"Over 7500 oil and gas structures (e.g. oil platforms) are installed in offshore waters worldwide and many will require decommissioning within the next two decades. The decision to remove such structures or turn them into reefs (i.e. 'rigs-to-reefs') hinges on the habitat value they provide, yet this can rarely be determined because the residency of mobile species is difficult to establish. Here, we test a novel solution to this problem for reef fishes; the use of otolith (earstone) properties to identify oil structures of residence. We compare the otolith microchemistry and otolith shape of a site-attached coral reef fish (Pseudanthias rubrizonatus) among four oil structures (depth 82-135 m, separated by 9.7-84.2 km) on Australia's North West Shelf to determine if populations developed distinct otolith properties during their residency. Microchemical signatures obtained from the otolith edge using laser ablation inductively coupled plasma mass spectrometry (LA-ICP-MS) differed among oil structures, driven by elements Sr, Ba and Mn, and to a lesser extent Mg and Fe. A combination of microchemical data from the otolith edge and elliptical Fourier (shape) descriptors allowed allocation of individuals to their 'home' structure with moderate accuracy (overall allocation accuracy: 63.3%, range: 45.5-78.1%), despite lower allocation accuracies for each otolith property in isolation (microchemistry: 47.5%, otolith shape: 45%). Site-specific microchemical signatures were also stable enough through time to distinguish populations during 3 separate time periods, suggesting that residence histories could be recreated by targeting previous growth zones in the otolith. Our results indicate that reef fish can develop unique otolith properties during their residency on oil structures which may be useful for assessing the habitat value of individual structures. The approach outlined here may also be useful for determining the residency of reef fish on artificial reefs, which would assist productivity assessments of these habitats. (c) 2015 Elsevier Ltd. All rights reserved.",Yes,Ray,No,NA,Ray,NA,NA,NA,,,
J,"Meyer-Gutbrod, Erin L.; Kui, Li; Nishimoto, Mary M.; Love, Milton S.; Schroeder, Donna M.; Miller, Robert J.",Fish densities associated with structural elements of oil and gas platforms in southern California,BULLETIN OF MARINE SCIENCE,95,4,639,656,10.5343/bms.2018.0078,Oct-19,2019,"There are thousands of offshore oil and gas platforms worldwide that will eventually become obsolete, and one popular decommissioning alternative is the rigs to reefs conversion that designates all or a portion of the underwater infrastructure as an artificial reef, thereby reducing the burden of infrastructure removal. The unique architecture of each platform may influence the size and structure of the associated fish assemblage if different structural elements form distinct habitats for fishes. Using scuba survey data from 11 southern California platforms from 1995 to 2000, we examined fish assemblages associated with structural elements of the structure, including the major horizontal crossbeams outside of the jacket, vertical jacket legs, and horizontal crossbeams that span the jacket interior. Patterns of habitat association were examined among three depth zones: shallow (<16.8 m), midwater (16.8-26 m), and deep (>26 m); and between two life stages: youngof-the-year and non-young-of-the-year. Fish densities tended to be greatest along horizontal beams spanning the jacket interior, relative to either horizontal or vertical beams along the jacket exterior, indicating that the position of the habitat within the overall structure is an important characteristic affecting fish habitat use. Fish densities were also higher in transects centered directly over a vertical or horizontal beam relative to transects that did not contain a structural element. These results contribute to the understanding of fish habitat use on existing artificial reefs, and can inform platform decommissioning decisions as well as the design of new offshore structures intended to increase fish production.",Yes,Ray,No,NA,Ray,NA,NA,NA,measured fish densities,,
J,"Bull, Ann Scarborough; Nishimoto, Mary M.; Love, Milton S.; Clark, Scott; Seeto, Katelin; McCrea, Merit; Park, Charin; Kui, Li; Jainese, Conner; Aziz, Azivy; Angle, Jordan","Comparison of methods (ROV, diver) used to estimate the composition and abundance of biota colonizing an offshore oil platform: A pilot study",CONTINENTAL SHELF RESEARCH,252,,,,10.1016/j.csr.2022.104856,Jan 1 2023,2023,"Offshore oil and gas platforms have a finite life of production operations. Once production ceases, decom-missioning options for the platform are evaluated. The role that a platform's jacket plays as invertebrate habitat may inform the decommissioning decision. Worldwide, few scientific surveys specific to marine invertebrates have been conducted at platforms to collect data needed for biological assessments; however, recent research has examined the biological community utilizing historical industry-collected Remotely Operated Video (ROV) im-agery that was not specifically collected for such purposes. To address concerns of bias in using video footage from industry structural surveys for biological assessments, we compared estimates of invertebrate density and species richness beneath a California oil platform determined using data from three sources: video from an in-dustry ROV structural survey, video from a scientific ROV biological survey using the same vehicle, and photoquadrat still imagery from a scientific scuba diver survey. All surveys were conducted along the same jacket crossbeams. We found that the epibenthic assemblages characterized by the two ROV methods were similar. More species were observed in the diver photoquadrats than in either of the two kinds of ROV surveys, because smaller and more cryptic species could be resolved. We cannot extrapolate from this preliminary, localized study to all platforms worldwide; however, our results indicate routine platform structural integrity surveys are as valuable as dedicated scientific biological surveys for macroinvertebrates and represent an invaluable source for opportunistic marine community assessments.",Yes,Ray,No,NA,Ray,NA,NA,NA,measured fish and invert densities,,
J,"RALPH, R",A PLATFORM FOR FISH,NEW SCIENTIST,109,1495,42,44,,Feb 13 1986,1986,,cannot access,Ray,NA,NA,NA,NA,NA,NA,(has zero citations so does not seem to exist?),,
