Publication Type,Authors,Book Authors,Group Authors,Book Group Authors,Researcher Ids,ORCIDs,Book Editors,Author - Arabic,Grant Principal Investigator,Grant Co Principal Investigator,Article Title,Article Title - SciELO,Article Title - SciELO,Article Title - Chinese,Article Title - Russian,Patent Number,Patent Assignee,Source Title - Arabic,Source Title,Source Title - Korean,Book Series Title,Book Series Subtitle,Volume,Issue,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,Version,Version History,DOI,Book DOI,License Name,License URI,License Description,Early Access Date,Supplement,Document Type,Publication Date,Publication Year,Abstract,Abstract - Foreign,Abstract - English Transliteration,Abstract - Foreign,Abstract - Korean,Conference Title,Conference Date,Conference Sponsor,Conference Location,"Times Cited, WoS Core","Times Cited, CSCD","Times Cited, RSCI","Times Cited, ARCI","Times Cited, BCI","Times Cited, SCIELO","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,ISSN,eISSN,ISBN,Grant Number,No of References,Cited References,Language,Advisor,Committee Member,Copyright,Degree Name,Institution Address,Institution,Dissertation and Thesis Subjects,Author Keywords,Indexed Date,UT (Unique ID),Pubmed Id,
J,"Driessen, P.K.",,,,,,,,,,Oil platforms as reefs: oil and fish can mix.,,,,,,,,Coastal Zone,,,,1985,2,,,1417,1438,,,,,,,,,,,Article,1985,1985,,,,,,,,,,0,0,0,0,0,0,0,,,0821-1302,,,,,,,,,,,,,,,1985-01-01,ZOOREC:ZOOR12300038242,,
J,"Bombace, G.; Fabi, G.; Rivas, G.",,,,,,,,,,Effects induced by a productive gas platform of the northern Adriatic Sea on fish assemblage: perspectives for the management of coastal resources.,,,,Effetti sul popolamento ittico indotti da una piattaforma estrattiva dell'Alto Adriatico perspettive di gestione delle risorse costiere.,,,,Biologia Marina Mediterranea,,,,6,1,,,64,72,,,,,,,,,,,Article; Meeting paper,1999,1999,,,,,,,,,,8,0,0,0,6,2,9,,,1123-4245,,,,,,,,,,,"Istituto di Ricerche sulla Pesca Marittima - CNR, Largo Fiera della Pesca, 60125 Ancona, Italy",,,,1999-01-01,ZOOREC:ZOOR13600034290,,
J,"Andrade Braga, Marcus Davis; Paiva, Sandra Vieira; de Gurjao, Livio Moreira; Peres Teixeira, Carlos Eduardo; Alves Reboucas Gurgel, Anne Larisse; Cipresso Pereira, Pedro Henrique; Soares, Marcelo de Oliveira",,,,"Teixeira, Carlos Eduardo Peres/B-1289-2008; Gurgel, Anne/GQY-8617-2022; Soares, Marcelo de Oliveira/J-3653-2016","Teixeira, Carlos Eduardo Peres/0000-0002-2868-8914; Gurgel, Anne/0009-0002-6589-0094; Soares, Marcelo de Oliveira/0000-0002-4696-3166",,,,,Retirement risks: Invasive coral on old oil platform on the Brazilian equatorial continental shelf,,,,,,,,MARINE POLLUTION BULLETIN,,,,165,,,,,,112156,,,10.1016/j.marpolbul.2021.112156,,,,,FEB 2021,,Article; Early Access,,2021,"The objective of this study was to report, for the first time, the presence of an invasive coral (Tubastraea tagusensis) in an oil platform on the Brazilian equatorial continental shelf. This structure is located more than 1200 km north from other oil and gas structures colonized by this coral. We also discussed the retirement and decommissioning of old biofouling-encrusted oil and gas platforms (similar to 62 platforms) from decreased production and the current oil crisis, exacerbated by the COVID-19 pandemic. This presents an ecological concern due invasive coral range expansion and potential impacts to poorly studied ecosystems such as marginal shallow-water coral reefs and mesophotic ecosystems. It is imperative that mindful risk analysis and rigorous environmental studies must precede the installation of new oil and gas platforms. In addition, decommissioning of retired structures should take into consideration marine restoration and non-indigenous species dispersal, and more specifically, Tubastraea bioinvasion.",,,,,,,,,18,0,0,0,13,0,18,,,0025-326X,1879-3363,,,,,,,,,,"Univ Fed Ceara UFC, Inst Ciencias Mar LABOMAR, Fortaleza, Ceara, BrazilMar Ceara Ltd, Fortaleza, Ceara, BrazilInst Brasileiro Meio Ambiente & Recursos Nat Reno, Fortaleza, Ceara, BrazilUniv Autonoma Barcelona UAB, Inst Ciencia & Tecnol Ambientals ICTA, Edif Z, Barcelona, SpainUniv Salento, Dipartimento Sci & Tecnol Biol & Ambientali DISTE, Lecce, ItalyProjeto Conservacao Recifal, Reef Conservat Project, Recife, PE, Brazil",Mar Ceara LtdInst Brasileiro Meio Ambiente & Recursos Nat RenoProjeto Conservacao Recifal,,,2021-05-10,WOS:000636285100007,33618222,
J,"Kolian, Stephan R.; Sammarco, Paul W.; Porter, Scott A.",,,,,,,,,,Use of retired oil and gas platforms for fisheries in the Gulf of Mexico,,,,,,,,Environment Systems & Decisions,,,,38,4,,,501,507,,,,10.1007/s10669-018-9685-6,,,,,,,Article,DEC 2018,2018,"Petroleum resources are declining on the continental shelf and will, eventually, result in the loss of similar to 30,000 jobs in related industries. Retired oil and gas platforms could be redeployed to culture fish and employ citizens in coastal areas. The Energy Policy Act 2005 Section 388 of Public Law [PL] 109-58 30 CFR 285.1000 Subpart J encourages the use of the retired structures for alternate uses. At present, there are no fishermen currently taking advantage of this legislation. We suggest amending existing laws to improve the likelihood that retired platforms are used to culture fish and invertebrates. In the future, the abandoned oil and gas infrastructure could also be used to recover stranded petroleum and reserves located in deeper horizons.",,,,,,,,,6,0,0,0,3,0,7,,,2194-5403,2194-5411,,,,,,,,,,"EcoRigs Nonprofit Org, 12701 River Rd, New Orleans, LA 70131 USA",,,,2018-12-13,BCI:BCI201900057491,,
J,"Claisse, Jeremy T.; Pondella, Daniel J., II; Love, Milton; Zahn, Laurel A.; Williams, Chelsea M.; Williams, Jonathan P.; Bull, Ann S.",,,,"Claisse, Jeremy T/B-8622-2012; Williams, Jonathan P./O-2696-2017; Williams, Jonathan/AAX-3534-2020","Williams, Jonathan P./0000-0002-4829-2474; Williams, Jonathan/0000-0002-4829-2474",,,,,Oil platforms off California are among the most productive marine fish habitats globallyle,,,,,,,,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,,,,111,43,,,15462,15467,,,,10.1073/pnas.1411477111,,,,,,,Article,OCT 28 2014,2014,"Secondary (i.e., heterotrophic or animal) production is a main pathway of energy flow through an ecosystem as it makes energy available to consumers, including humans. Its estimation can play a valuable role in the examination of linkages between ecosystem functions and services. We found that oil and gas platforms off the coast of California have the highest secondary fish production per unit area of seafloor of any marine habitat that has been studied, about an order of magnitude higher than fish communities from other marine ecosystems. Most previous estimates have come from estuarine environments, generally regarded as one of the most productive ecosystems globally. High rates of fish production on these platforms ultimately result from high levels of recruitment and the subsequent growth of primarily rockfish (genus Sebastes) larvae and pelagic juveniles to the substantial amount of complex hardscape habitat created by the platform structure distributed throughout the water column. The platforms have a high ratio of structural surface area to seafloor surface area, resulting in large amounts of habitat for juvenile and adult demersal fishes over a relatively small footprint of seafloor. Understanding the biological implications of these structures will inform policy related to the decommissioning of existing (e.g., oil and gas platforms) and implementation of emerging (e.g., wind, marine hydrokinetic) energy technologies.",,,,,,,,,178,3,1,0,146,0,203,,,0027-8424,,,,,,,,,,,"Occidental Coll, Dept Biol, Vantuna Res Grp, Los Angeles, CA 90041 USAUniv Calif Santa Barbara, Marine Sci Inst, Santa Barbara, CA 93106 USABur Ocean Energy Management, Environm Sci Sect, Camarillo, CA 93010 USA",Bur Ocean Energy Management,,,2014-10-28,WOS:000343729500055,25313050,
J,"Fowler, Ashley M.; Macreadie, Peter I.; Bishop, David P.; Booth, David J.",,,,"Bishop, David P/F-2891-2019; Fowler, Ashley M/N-8623-2016","Bishop, David P/0000-0002-6533-4410; Fowler, Ashley M/0000-0003-3075-7066; Booth, David/0000-0002-8256-1412",,,,,Using otolith microchemistry and shape to assess the habitat value of oil structures for reef fish,,,,,,,,MARINE ENVIRONMENTAL RESEARCH,,,,106,,,,103,113,,,,10.1016/j.marenvres.2015.03.007,,,,,,,Article,MAY 2015,2015,"Over 7500 oil and gas structures (e.g. oil platforms) are installed in offshore waters worldwide and many will require decommissioning within the next two decades. The decision to remove such structures or turn them into reefs (i.e. 'rigs-to-reefs') hinges on the habitat value they provide, yet this can rarely be determined because the residency of mobile species is difficult to establish. Here, we test a novel solution to this problem for reef fishes; the use of otolith (earstone) properties to identify oil structures of residence. We compare the otolith microchemistry and otolith shape of a site-attached coral reef fish (Pseudanthias rubrizonatus) among four oil structures (depth 82-135 m, separated by 9.7-84.2 km) on Australia's North West Shelf to determine if populations developed distinct otolith properties during their residency. Microchemical signatures obtained from the otolith edge using laser ablation inductively coupled plasma mass spectrometry (LA-ICP-MS) differed among oil structures, driven by elements Sr, Ba and Mn, and to a lesser extent Mg and Fe. A combination of microchemical data from the otolith edge and elliptical Fourier (shape) descriptors allowed allocation of individuals to their 'home' structure with moderate accuracy (overall allocation accuracy: 63.3%, range: 45.5-78.1%), despite lower allocation accuracies for each otolith property in isolation (microchemistry: 47.5%, otolith shape: 45%). Site-specific microchemical signatures were also stable enough through time to distinguish populations during 3 separate time periods, suggesting that residence histories could be recreated by targeting previous growth zones in the otolith. Our results indicate that reef fish can develop unique otolith properties during their residency on oil structures which may be useful for assessing the habitat value of individual structures. The approach outlined here may also be useful for determining the residency of reef fish on artificial reefs, which would assist productivity assessments of these habitats. (c) 2015 Elsevier Ltd. All rights reserved.",,,,,,,,,17,1,0,0,14,0,18,,,0141-1136,1879-0291,,,,,,,,,,"Univ Technol Sydney, Ctr Environm Sustainabil, Sch Environm, Broadway, NSW 2007, AustraliaUniv Technol Sydney, Sch Environm, Plant Funct Biol & Climate Change Cluster, Broadway, NSW 2007, AustraliaDeakin Univ, Ctr Integrat Ecol, Sch Life & Environm Sci, Geelong, Vic 3217, AustraliaUniv Technol Sydney, Elemental Bioimaging Facil, Broadway, NSW 2007, Australia",,,,2015-05-01,WOS:000353080900011,25800861,
J,"Kolian, Stephan R.; Godec, Michael; Sammarco, Paul W.",,,,,,,,,,Alternate uses of retired oil and gas platforms in the Gulf of Mexico,,,,,,,,OCEAN & COASTAL MANAGEMENT,,,,167,,,,52,59,,,,10.1016/j.ocecoaman.2018.10.002,,,,,,,Article,JAN 1 2019,2019,"The number of fixed oil and gas platforms are declining in the Gulf of Mexico, there were similar to 3674 platforms installed the since 1942 and today there are similar to 1320. Eventually, similar to 30,000 jobs will be lost in related industries because of platform removals. Retired oil and gas platforms could be redeployed for alternate uses such as CO2 capture and storage, renewable wind energy, and sustainable fisheries and employ citizens in coastal areas. Elsewhere around the world, offshore platforms are used for purposes other than producing oil and gas. U.S. Federal legislation (Energy Policy Act 2005 Section 388 of Public Law [PL] 109-58); 30 CFR 285.1000 Subpart J) authorizes the use of retired oil and gas platforms for alternate uses. If the retired oil and gas structures are preserved, the infrastructure could also be used to recover stranded petroleum using CO2 enhanced oil recovery (CO2-EOR). We examined the socio-economic incentives, environmental impacts, and regulatory issues associated with the alternate uses. We suggest that CO2-EOR is the most economically efficient way to store CO2 offshore and that offshore wind turbines may assist with the energy requirements for oil and gas production and CO2-EOR. Data suggest that in our study area offshore platforms are more successful at producing fish and invertebrates if they are left standing instead of toppled over. The greatest regulatory issue facing the use of retired platforms is the transfer of liability. If the structures are redeployed, the previous oil and gas owner/operators are still responsible for eventual removal and catastrophic events. A variety of future economic activity in the Gulf of Mexico could take advantage of this infrastructure, if it remains in place.",,,,,,,,,11,0,0,0,1,0,11,,,0964-5691,1873-524X,,,,,,,,,,"EcoRigs Nonprofit Org, 12701 River Rd, New Orleans, LA 70131 USAAdv Resources Int, Fairfax Dr,Suite 910, Arlington, VA 22203 USALouisiana Univ Marine Consortium LUMCON, 8124 Hwy 56, Chauvin, LA 70344 USA",EcoRigs Nonprofit OrgAdv Resources IntLouisiana Univ Marine Consortium LUMCON,,,2018-12-28,WOS:000453113900006,,
J,"Meyer-Gutbrod, Erin L.; Kui, Li; Nishimoto, Mary M.; Love, Milton S.; Schroeder, Donna M.; Miller, Robert J.",,,,"Meyer-Gutbrod, Erin/J-7455-2019","Meyer-Gutbrod, Erin/0000-0003-3184-5690; Miller, Robert/0000-0002-8350-3759",,,,,Fish densities associated with structural elements of oil and gas platforms in southern California,,,,,,,,BULLETIN OF MARINE SCIENCE,,,,95,4,SI,,639,656,,,,10.5343/bms.2018.0078,,,,,,,Article,OCT 2019,2019,"There are thousands of offshore oil and gas platforms worldwide that will eventually become obsolete, and one popular decommissioning alternative is the rigs to reefs conversion that designates all or a portion of the underwater infrastructure as an artificial reef, thereby reducing the burden of infrastructure removal. The unique architecture of each platform may influence the size and structure of the associated fish assemblage if different structural elements form distinct habitats for fishes. Using scuba survey data from 11 southern California platforms from 1995 to 2000, we examined fish assemblages associated with structural elements of the structure, including the major horizontal crossbeams outside of the jacket, vertical jacket legs, and horizontal crossbeams that span the jacket interior. Patterns of habitat association were examined among three depth zones: shallow (<16.8 m), midwater (16.8-26 m), and deep (>26 m); and between two life stages: youngof-the-year and non-young-of-the-year. Fish densities tended to be greatest along horizontal beams spanning the jacket interior, relative to either horizontal or vertical beams along the jacket exterior, indicating that the position of the habitat within the overall structure is an important characteristic affecting fish habitat use. Fish densities were also higher in transects centered directly over a vertical or horizontal beam relative to transects that did not contain a structural element. These results contribute to the understanding of fish habitat use on existing artificial reefs, and can inform platform decommissioning decisions as well as the design of new offshore structures intended to increase fish production.",,,,,,,,,10,0,0,0,9,0,11,,,0007-4977,1553-6955,,,,,,,,,,"Univ Calif Santa Barbara, Marine Sci Inst, Santa Barbara, CA 93106 USAUS Dept Interior, Bur Ocean Energy Management, Camarillo, CA 93010 USA",,,,2019-10-22,WOS:000489628300009,,
J,"Bull, Ann Scarborough; Nishimoto, Mary M.; Love, Milton S.; Clark, Scott; Seeto, Katelin; McCrea, Merit; Park, Charin; Kui, Li; Jainese, Conner; Aziz, Azivy; Angle, Jordan",,,,,"Bull, Ann Scarborough/0000-0002-5103-7140; Jainese, Conner/0000-0002-6730-3669",,,,,"Comparison of methods (ROV, diver) used to estimate the composition and abundance of biota colonizing an offshore oil platform: A pilot study",,,,,,,,CONTINENTAL SHELF RESEARCH,,,,252,,,,,,104856,,,10.1016/j.csr.2022.104856,,,,,NOV 2022,,Article; Early Access,,2023,"Offshore oil and gas platforms have a finite life of production operations. Once production ceases, decom-missioning options for the platform are evaluated. The role that a platform's jacket plays as invertebrate habitat may inform the decommissioning decision. Worldwide, few scientific surveys specific to marine invertebrates have been conducted at platforms to collect data needed for biological assessments; however, recent research has examined the biological community utilizing historical industry-collected Remotely Operated Video (ROV) im-agery that was not specifically collected for such purposes. To address concerns of bias in using video footage from industry structural surveys for biological assessments, we compared estimates of invertebrate density and species richness beneath a California oil platform determined using data from three sources: video from an in-dustry ROV structural survey, video from a scientific ROV biological survey using the same vehicle, and photoquadrat still imagery from a scientific scuba diver survey. All surveys were conducted along the same jacket crossbeams. We found that the epibenthic assemblages characterized by the two ROV methods were similar. More species were observed in the diver photoquadrats than in either of the two kinds of ROV surveys, because smaller and more cryptic species could be resolved. We cannot extrapolate from this preliminary, localized study to all platforms worldwide; however, our results indicate routine platform structural integrity surveys are as valuable as dedicated scientific biological surveys for macroinvertebrates and represent an invaluable source for opportunistic marine community assessments.",,,,,,,,,1,0,0,0,1,0,1,,,0278-4343,1873-6955,,,,,,,,,,"Univ Calif, Marine Sci Inst, Santa Barbara, CA 93106 USAExxonMobil Biomed Sci, Houston, TX USAExxonMobil Upstream Res Co, Spring, TX USA",,,,2022-12-31,WOS:000892850100002,,
C,"Scarborough-Bull, Ann; Love, Milton S.; Schroeder, Donna M.",,,,,,"Nielsen, J; Dodson, JJ; Friedland, K; Hamon, TR; Musick, J; Verspoor, E",,,,Artificial reefs as fishery conservation tools: Contrasting the roles of offshore structures between the Gulf of Mexico and the Southern California bight,,,,,,,,"RECONCILING FISHERIES WITH CONSERVATION, VOLS I AND II",,American Fisheries Society Symposium,,49,,,,899,+,,,,,,,,,,,Proceedings Paper,2008,2008,"Rigs-to-Reefs is a term used when converting obsolete offshore oil and gas platforms into designated artificial reefs. In Federal waters, there are over 4,000 platforms in the Gulf of Mexico and 23 structures in the Southern California Bight. Platforms in the Gulf of Mexico are concentrated in the north-central and northwestern regions where few natural reefs exist; they harbor unique communities bearing little resemblance to those in the natural surrounding habitat. There is evidence that the artificial habitat supplied by platforms in the Gulf of Mexico has increased the regional carrying capacity for economically important reef fish species such as red snapper. Platforms in the Gulf of Mexico are customary destinations for both commercial and recreational fishing and Rigs-to-Reefs programs of Gulf States are actively expanding each year. Contrary to the Gulf of Mexico experience, California platforms are concentrated in the Santa Barbara Channel area among natural reefs and offshore islands and they harbor fish assemblages that resemble those found in nearby habitats. Observations at natural reefs and platforms off California found that platforms have become refugia for increasingly rare and overfished species, which is thought to be, in part, a result of light to nonexistent fishing pressure at those platforms. Many of the oil and gas structures off California are nearing the end of productive life as sources of oil and gas. Within the next decade important decisions will be made concerning the ultimate fate of the California platforms and the fish populations they support.",,,,,4th World Fisheries Congress4th World Fisheries Congress,"MAY 02-06, 2004MAY 02-06, 2004",,"Vancouver, CANADAVancouver, CANADA",14,0,0,0,11,0,19,,,0892-2284,,978-1-888569-80-3,,,,,,,,,"US Dept Interior, Minerals Management Serv, Camarillo, CA 93010 USAUniv Calif Santa Barbara, Inst Marine Sci, Santa Barbara 93101, CA USA",,,,2008-01-01,WOS:000254264800076,,
